model,clean,temporalmisalignment_s1,temporalmisalignment_s2,temporalmisalignment_s3,spatialmisalignment_s1,spatialmisalignment_s2,spatialmisalignment_s3,pointsreducing_s1,pointsreducing_s2,pointsreducing_s3,motionblur_s1,motionblur_s2,motionblur_s3,missingcamera_s1,missingcamera_s2,missingcamera_s3,fog_s1,fog_s2,fog_s3,dark_s1,dark_s2,dark_s3,brightness_s1,brightness_s2,brightness_s3,beamsreducing_s1,beamsreducing_s2,beamsreducing_s3,snow_s1,snow_s2,snow_s3
CMT,0.729,0.6572,0.568,0.4988,0.6462,0.586,0.5367,0.7012,0.6834,0.638,0.6886,0.6154,0.5357,0.718,0.7109,0.7009,0.6974,0.6527,0.4134,0.7051,0.6904,0.6786,0.7038,0.6852,0.6605,0.6826,0.5873,0.4497,0.6483,0.619,0.5554
DeepInteraction,0.6909,0.6139,0.5237,0.4544,0.5863,0.5014,0.4267,0.6522,0.6242,0.5518,0.655,0.5751,0.4939,0.6253,0.5816,0.5383,0.5788,0.4844,0.1452,0.6594,0.6415,0.6254,0.6785,0.6719,0.6574,0.6162,0.4571,0.2839,0.5526,0.5311,0.4896
TransFusion,0.7084,0.6306,0.5437,0.4766,0.5708,0.4761,0.4095,0.6554,0.619,0.5331,0.6727,0.5878,0.4944,0.7017,0.698,0.6946,0.6506,0.5996,0.3529,0.7025,0.6996,0.6978,0.7056,0.7041,0.7007,0.6222,0.4591,0.2636,0.5447,0.5353,0.5087
Sparsefusion,0.7315,0.6523,0.5622,0.4901,0.6061,0.5149,0.4461,0.6881,0.6578,0.5838,0.6997,0.6234,0.5374,0.7117,0.6981,0.6836,0.6762,0.6261,0.3811,0.7122,0.7039,0.6978,0.7205,0.7146,0.7039,0.6593,0.5139,0.338,0.5859,0.5704,0.5337
BEVfusion,0.7144,0.6341,0.5471,0.4085,0.5903,0.4943,0.4266,0.6684,0.6379,0.5628,0.6861,0.6217,0.5475,0.7038,0.6961,0.6873,0.6555,0.5981,0.3584,0.699,0.691,0.6861,0.6967,0.6913,0.6851,0.6396,0.4899,0.3199,0.5782,0.5572,0.5233
IS-Fusion,0.7365,0.6537,0.5609,0.4892,0.6221,0.5214,0.4359,0.6827,0.6489,0.5691,0.7046,0.6445,0.5803,0.7164,0.7023,0.6877,0.6697,0.6107,0.3943,0.7101,0.6998,0.6925,0.7198,0.7091,0.6917,0.6694,0.5068,0.3266,0.5619,0.5463,0.5115
UniBEV_cat,0.6782,0.6097,0.5283,0.4644,0.5813,0.5126,0.4390,0.6470,0.6263,0.5775,0.6341,0.5371,0.4521,0.6666,0.6584,0.6487,0.6346,0.5910,0.3832,0.6645,0.6559,0.6461,0.6717,0.6629,0.6493,0.6141,0.5101,0.4199,0.5811,0.5292,0.4390
UniBEV_avg,0.6842,0.6147,0.5330,0.4677,0.5801,0.5117,0.4619,0.6530,0.6313,0.5821,0.6367,0.5432,0.4569,0.6691,0.6597,0.6505,0.6346,0.5902,0.3674,0.6706,0.6600,0.6501,0.6757,0.6658,0.6537,0.6183,0.5151,0.4264,0.5849,0.5269,0.4323
UniBEV_cnw,0.6853,0.6122,0.5292,0.4646,0.5794,0.5065,0.4492,0.6514,0.6295,0.5802,0.6348,0.5344,0.4427,0.6673,0.6549,0.6450,0.6363,0.5931,0.3648," 0.6716",0.6617,0.6518,0.6764,0.6670,0.6524,0.6181,0.5061,0.3981,0.5798,0.5229,0.4224
MEFormer,0.7385,0.6659,0.5762,0.5013,0.6494,0.5866,0.5274,0.7078,0.6863,0.6407,0.7009,0.6202,0.5285,0.7131,0.6949," 0.6757",0.6976,0.6422,0.4106,0.7154,0.7011,0.6919,0.7143,0.6982,0.6788,0.6885,0.5837,0.4201,0.6622,0.6288,0.5565
MEFormer w/o PME,0.7367,0.6632,0.5730,0.4995,0.6429,0.5780,0.5165,0.7060,0.6842,0.6356,0.6999,0.6184,0.5244,0.7100,0.6908,0.6699,0.6966,0.6418,0.4054,0.7152,0.7011,0.6914,0.7133,0.6972,0.6774,0.6862,0.5766,0.4065,0.6589,0.6261,0.5520
MoME,0.7354,0.6623,0.5729,0.4996,0.6430,0.5779,0.5166,0.7054,0.6843,0.6368,0.6981,0.6179,0.5266,0.7166,0.7061,0.6986,0.6961,0.6412,0.4019,0.7104,0.6955,0.6846,0.7110,0.6953,0.6751,0.6847,0.5752,0.4078,0.6597,0.6266,0.5524
