model,RA_beamsreducing_s1,RA_brightness_s1,RA_dark_s1,RA_fog_s1,RA_missingcamera_s1,RA_motionblur_s1,RA_pointsreducing_s1,RA_snow_s1,RA_spatialmisalignment_s1,RA_temporalmisalignment_s1,RA_beamsreducing_s2,RA_brightness_s2,RA_dark_s2,RA_fog_s2,RA_missingcamera_s2,RA_motionblur_s2,RA_pointsreducing_s2,RA_snow_s2,RA_spatialmisalignment_s2,RA_temporalmisalignment_s2,RA_beamsreducing_s3,RA_brightness_s3,RA_dark_s3,RA_fog_s3,RA_missingcamera_s3,RA_motionblur_s3,RA_pointsreducing_s3,RA_snow_s3,RA_spatialmisalignment_s3,RA_temporalmisalignment_s3,mRA
CMT,0.9363511659807956,0.9654320987654321,0.9672153635116597,0.9566529492455419,0.9849108367626886,0.9445816186556928,0.9618655692729767,0.8893004115226337,0.8864197530864197,0.9015089163237312,0.8056241426611798,0.9399176954732511,0.9470507544581619,0.8953360768175582,0.9751714677640604,0.8441700960219478,0.9374485596707819,0.8491083676268861,0.803840877914952,0.7791495198902606,0.6168724279835391,0.9060356652949245,0.9308641975308642,0.5670781893004115,0.9614540466392318,0.7348422496570645,0.8751714677640604,0.7618655692729767,0.7362139917695473,0.6842249657064472,0.8648559670781892
DeepInteraction,0.8918801563178463,0.9820523954262557,0.9544072948328268,0.8377478651034882,0.9050513822550297,0.9480387899840789,0.9439861050803301,0.799826313504125,0.8486032710956725,0.8885511651469099,0.6616008105369808,0.9724996381531338,0.9284990591981473,0.701114488348531,0.841800550007237,0.8323925314806774,0.9034592560428427,0.7687074829931974,0.7257200752641482,0.7579968157475757,0.41091330149080907,0.9515125199015777,0.9051961210015921,0.21016066000868433,0.7791286727456941,0.7148646692719641,0.7986684035316254,0.7086409031697786,0.6176002315819946,0.6576928643797946,0.7949437931200849
TransFusion,0.8783173348390739,0.9960474308300394,0.9916713721061547,0.9184076792772444,0.9905420666290231,0.9496047430830039,0.9251835121400338,0.7689158667419536,0.8057594579333709,0.8901750423489554,0.6480801806888763,0.9939299830604177,0.9875776397515528,0.8464144551101073,0.9853190287972896,0.8297571993224166,0.8738001129305477,0.7556465273856577,0.672077922077922,0.7675042348955392,0.37210615471485037,0.9891304347826086,0.9850367024280067,0.4981648785996612,0.9805194805194805,0.6979107848673066,0.752540937323546,0.7180971202710333,0.5780632411067194,0.6727837380011293,0.8239695087521175
Sparsefusion,0.9012987012987013,0.9849624060150376,0.9736158578263842,0.9244019138755981,0.9729323308270676,0.9565276828434722,0.9406698564593301,0.800956937799043,0.8285714285714285,0.8917293233082706,0.7025290498974709,0.9768967874231032,0.9622693096377306,0.8559125085440874,0.9543403964456596,0.8522214627477784,0.8992481203007519,0.7797676008202323,0.7038961038961039,0.7685577580314422,0.46206425153793573,0.9622693096377306,0.9539302802460696,0.5209842788790157,0.9345181134654819,0.7346548188653451,0.7980861244019138,0.7295967190704031,0.6098427887901572,0.6699931647300068,0.8335748462064251
BEVfusion,0.8952967525195967,0.9752239641657334,0.9784434490481522,0.9175531914893617,0.9851623740201567,0.9603863381858903,0.9356103023516237,0.8093505039193729,0.8262877939529676,0.8875979843225084,0.6857502799552071,0.9676651735722285,0.967245240761478,0.8372060470324747,0.9743840985442329,0.8702407614781635,0.8929171332586786,0.7799552071668533,0.691909294512878,0.7658174692049272,0.44778835386338184,0.958986562150056,0.9603863381858903,0.5016797312430011,0.9620660694288914,0.7663773796192609,0.7877939529675251,0.7325027995520716,0.597144456886898,0.5718085106382979,0.8296845837999254
IS-Fusion,0.9088934147997284,0.9773251866938221,0.9641547861507127,0.9093007467752884,0.9727087576374746,0.9566870332654446,0.9269517990495586,0.7629327902240325,0.8446707399864222,0.8875763747454174,0.6881194840461643,0.9627970128988458,0.9501697216564833,0.8291921249151392,0.9535641547861508,0.8750848608282416,0.8810590631364562,0.7417515274949084,0.7079429735234215,0.7615750169721656,0.443448744059742,0.9391717583163611,0.9402579769178546,0.5353699932111337,0.9337406653088933,0.7879158180583843,0.7727087576374746,0.6945010183299388,0.5918533604887983,0.6642226748133062,0.8255216112242589
UniBEV_cat,0.9054851076378648,0.9904158065467413,0.9797994691831318,0.9357121792981422,0.9828959009141846,0.9349749336478914,0.9539958714243586,0.856826894721321,0.8571217929814214,0.898997345915659,0.7521380123857269,0.9774402831023298,0.9671188439988204,0.8714243585962842,0.9708050722500736,0.7919492774992628,0.923473901503981,0.7803007962253022,0.7558242406369802,0.778973754054851,0.6191388970805072,0.9573872014155116,0.9526688292539074,0.5650250663521085,0.9565025066352109,0.66661751695665,0.8515187260395164,0.6473016809200826,0.6473016809200826,0.6847537599528162,0.8471296569350241
UniBEV_avg,0.9036831335866705,0.9875767319497222,0.9801227711195556,0.927506577024262,0.9779304296989184,0.9305758550131541,0.9543992984507453,0.8548669979538146,0.8478515054077754,0.8984215141771412,0.7528500438468284,0.9731072785735164,0.9646302250803859,0.8626132709733995,0.9641917567962583,0.7939199064600994,0.9226834258988599,0.770096463022508,0.7478807366267174,0.7790119847997662,0.6232095878398128,0.9554223911137093,0.95016077170418,0.5369774919614148,0.9507453960830166,0.6677871967261034,0.8507746273019584,0.6318327974276527,0.6750950014615609,0.6835720549546915,0.8439832407678066
UniBEV_cnw,0.9019407558733401,0.987012987012987,0.9800087552896541,0.9284984678243104,0.9737341310375018,0.926309645410769,0.9505326134539617,0.8460528235809134,0.845469137603969,0.8933313877134101,0.738508682328907,0.9732963665547936,0.96556252736028,0.8654603823143148,0.9556398657522254,0.7798044651977236,0.9185758062162556,0.7630234933605721,0.7390923683058513,0.7722165474974464,0.580913468553918,0.9519918283963227,0.9511162994309063,0.5323216109732963,0.9411936378228513,0.645994454983219,0.846636509557858,0.6163723916532905,0.6554793521085656,0.6779512622209252,0.8368014008463446
MEFormer,0.9322951929587,0.9672308733920109,0.9687203791469194,0.9446174678402166,0.9656059580230195,0.9490859851049424,0.9584292484766418,0.8966824644549762,0.8793500338524034,0.9016926201760325,0.7903859174001353,0.9454299255247123,0.9493568043331075,0.8696005416384562,0.9409614082599863,0.8398104265402843,0.9293161814488828,0.851455653351388,0.7943127962085308,0.7802301963439404,0.568855788761002,0.9191604603926877,0.9368991198375084,0.5559918754231551,0.9149627623561272,0.7156398104265402,0.8675693974272174,0.7535545023696681,0.7141503046716317,0.6788083953960731,0.8560054163845633
